# accession	TC1	TC2	genesymbol	length	familytype	product_name	product_name_orig
TIGR02154	296.2	296.2	phoB	226	equivalog	phosphate regulon transcriptional regulatory protein PhoB	phosphate regulon transcriptional regulatory protein PhoB
TIGR02155	646.3	646.3	paaF	422	equivalog	phenylacetate--CoA ligase	phenylacetate-CoA ligase
TIGR02156	348.2	348.2	paaG	289	equivalog	1,2-phenylacetyl-CoA epoxidase subunit A	phenylacetate-CoA oxygenase, PaaG subunit
TIGR02157	85.45	85.45	paaH	90	equivalog	1,2-phenylacetyl-CoA epoxidase subunit B	phenylacetate-CoA oxygenase, PaaH subunit
TIGR02158	133.35	133.35	paaI	237	equivalog	phenylacetate-CoA oxygenase subunit PaaI	phenylacetate-CoA oxygenase, PaaI subunit
TIGR02159	108.15	108.15	paaJ	146	equivalog	phenylacetate-CoA oxygenase subunit PaaJ	phenylacetate-CoA oxygenase, PaaJ subunit
TIGR02160	420.8	420.8	paaK	352	hypoth_equivalog	phenylacetate-CoA oxygenase/reductase subunit PaaK	phenylacetate-CoA oxygenase/reductase, PaaK subunit
TIGR02162	478.2	478.2	torC	387	equivalog	pentaheme c-type cytochrome TorC	trimethylamine-N-oxide reductase c-type cytochrome TorC
TIGR02163	213.05	213.05	NULL	255	subfamily	NapH/MauN family ferredoxin-type protein	ferredoxin-type protein, NapH/MauN family
TIGR02164	1465	1465	torA	824	equivalog	trimethylamine-N-oxide reductase TorA	trimethylamine-N-oxide reductase TorA
TIGR02165	45	45	cas5u6u	492	equivalog	type I-U CRISPR-associated protein Cas5/Cas6	CRISPR-associated protein GSU0054/csb2, Dpsyc system
TIGR02168	567.35	567.35	smc	1181	equivalog	chromosome segregation protein SMC	chromosome segregation protein SMC
TIGR02169	729.4	729.4	smc	1165	equivalog	chromosome segregation protein SMC	chromosome segregation protein SMC
TIGR02170	87.9	87.9	thyX	211	equivalog	FAD-dependent thymidylate synthase	thymidylate synthase, flavin-dependent
TIGR02171	544.35	544.35	NULL	912	paralog	TIGR02171 family protein	fibrobacter succinogenes paralogous family TIGR02171
TIGR02172	228.2	228.2	NULL	226	paralog	TIGR02172 family protein	fibrobacter succinogenes paralogous family TIGR02172
TIGR02174	34.2	34.2	NULL	74	subfamily	SelT/SelW/SelH family protein	selT/selW/selH selenoprotein domain
TIGR02176	911.35	911.35	nifJ	1167	equivalog	pyruvate:ferredoxin (flavodoxin) oxidoreductase	pyruvate:ferredoxin (flavodoxin) oxidoreductase
TIGR02178	264.05	264.05	yeiP	186	equivalog	elongation factor P-like protein YeiP	elongation factor P-like protein YeiP
TIGR02180	87.25	87.25	NULL	84	equivalog	glutaredoxin	glutaredoxin
TIGR02181	90	90	grxC	80	equivalog	glutaredoxin 3	glutaredoxin 3
TIGR02182	186.65	186.65	grxB	209	equivalog	glutaredoxin, GrxB family	glutaredoxin, GrxB family
TIGR02183	106.5	106.5	grxA	86	equivalog	glutaredoxin, GrxA family	glutaredoxin, GrxA family
TIGR02186	255.25	255.25	NULL	261	hypoth_equivalog	TIGR02186 family protein	conserved hypothetical protein
TIGR02188	724.95	724.95	acs	629	equivalog	acetate--CoA ligase	acetate--CoA ligase
TIGR02191	166.25	166.25	rnc	219	equivalog	ribonuclease III	ribonuclease III
TIGR02192	264.9	264.9	yibB	270	equivalog	protein YibB	protein YibB
TIGR02193	185.3	185.3	waaC	320	equivalog	lipopolysaccharide heptosyltransferase I	lipopolysaccharide heptosyltransferase I
TIGR02194	85.75	85.75	nrdH	72	subfamily	glutaredoxin-like protein NrdH	glutaredoxin-like protein NrdH
TIGR02195	134.6	134.6	waaF	339	equivalog	lipopolysaccharide heptosyltransferase II	lipopolysaccharide heptosyltransferase II
TIGR02197	274.6	274.6	rfaD	316	equivalog	ADP-glyceromanno-heptose 6-epimerase	ADP-glyceromanno-heptose 6-epimerase
TIGR02198	345	345	rfaE1	315	equivalog_domain	D-glycero-beta-D-manno-heptose-7-phosphate kinase	bifunctional protein RfaE, domain I
TIGR02199	181.5	181.5	rfaE2	144	equivalog_domain	D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase	bifunctional protein RfaE, domain II
TIGR02200	89.5	89.5	NULL	77	hypoth_equivalog	mycoredoxin	glutaredoxin-like protein
TIGR02201	170.2	170.2	rfaQ	344	equivalog	putative lipopolysaccharide heptosyltransferase III	putative lipopolysaccharide heptosyltransferase III
TIGR02203	602	602	msbA	572	equivalog	lipid A export permease/ATP-binding protein MsbA	lipid A export permease/ATP-binding protein MsbA
TIGR02205	119.65	119.65	zipA	284	equivalog	cell division protein ZipA	cell division protein ZipA
TIGR02206	75	75	NULL	222	hypoth_equivalog	TIGR02206 family membrane protein	conserved hypothetical integral membrane protein TIGR02206
TIGR02207	297.8	297.8	lpxL	303	subfamily	LpxL/LpxP family Kdo(2)-lipid IV(A) lauroyl/palmitoleoyl acyltransferase	lipid A biosynthesis lauroyl (or palmitoleoyl) acyltransferase
TIGR02208	336.05	336.05	msbB	305	equivalog	lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase	lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase
TIGR02209	42.45	42.45	ftsL	85	equivalog	cell division protein FtsL	cell division protein FtsL
TIGR02210	336.7	336.7	rodA	357	equivalog	rod shape-determining protein RodA	rod shape-determining protein RodA
TIGR02211	307.75	307.75	lolD	221	equivalog	lipoprotein-releasing ABC transporter ATP-binding protein LolD	lipoprotein releasing system, ATP-binding protein
TIGR02212	362.45	362.45	NULL	411	equivalog	lipoprotein-releasing ABC transporter permease subunit	lipoprotein releasing system, transmembrane protein, LolC/E family
TIGR02213	540.35	540.35	lolE	411	exception	lipoprotein-releasing ABC transporter permease subunit LolE	lipoprotein releasing system, transmembrane protein LolE
TIGR02214	688	688	NULL	636	equivalog	stage V sporulation protein D	stage V sporulation protein D
TIGR02217	136.65	136.65	NULL	210	subfamily	TIGR02217 family protein	TIGR02217 family protein
TIGR02221	76.25	76.25	NULL	218	equivalog	TIGR02221 family CRISPR-associated protein	CRISPR-associated protein, TM1812 family
TIGR02222	119.65	119.65	csaA	107	subfamily	export-related chaperone CsaA	export-related chaperone protein CsaA
TIGR02223	107.65	107.65	ftsN	299	equivalog	cell division protein FtsN	cell division protein FtsN
TIGR02224	335.15	335.15	xerC	295	equivalog	tyrosine recombinase XerC	tyrosine recombinase XerC
TIGR02225	329.6	329.6	xerD	290	equivalog	site-specific tyrosine recombinase XerD	tyrosine recombinase XerD
TIGR02227	47	47	lepB	162	equivalog	signal peptidase I	signal peptidase I
TIGR02228	51.85	51.85	NULL	158	equivalog	signal peptidase I	signal peptidase I
TIGR02231	112.6	112.6	NULL	524	subfamily	mucoidy inhibitor MuiA family protein	conserved hypothetical protein
TIGR02234	71.15	71.15	NULL	202	hypoth_equivalog	TIGR02234 family membrane protein	membrane protein, TIGR02234 family
TIGR02235	225	225	menA	285	equivalog	2-carboxy-1,4-naphthoquinone phytyltransferase	1,4-dihydroxy-2-naphthoate phytyltransferase
TIGR02236	361.15	361.15	radA	311	equivalog	DNA repair and recombination protein RadA	DNA repair and recombination protein RadA
TIGR02237	172.4	172.4	radB	210	equivalog	DNA repair and recombination protein RadB	DNA repair and recombination protein RadB
TIGR02238	447.7	447.7	NULL	314	equivalog	meiotic recombinase Dmc1	meiotic recombinase Dmc1
TIGR02239	478.05	478.05	NULL	316	equivalog	DNA repair protein RAD51	DNA repair protein RAD51
TIGR02240	250.6	250.6	phaZ	276	equivalog	poly(3-hydroxyalkanoate) depolymerase	poly(3-hydroxyalkanoate) depolymerase
TIGR02243	155.8	155.8	NULL	659	equivalog	putative baseplate assembly protein	putative baseplate assembly protein
TIGR02245	192.25	192.25	NULL	195	hypoth_equivalog	HAD-IIID family hydrolase	HAD hydrolase, family IIID
TIGR02246	33.95	33.95	NULL	128	subfamily	SgcJ/EcaC family oxidoreductase	conserved hypothetical protein
TIGR02248	229.9	229.9	mutH	217	equivalog	DNA mismatch repair endonuclease MutH	DNA mismatch repair endonuclease MutH
TIGR02249	265	265	NULL	315	subfamily	integron integrase	integron integrase
TIGR02253	169.75	169.75	NULL	221	subfamily	TIGR02253 family HAD-type hydrolase	HAD hydrolase, TIGR02253 family
TIGR02254	159.9	159.9	NULL	223	equivalog	noncanonical pyrimidine nucleotidase, YjjG family	noncanonical pyrimidine nucleotidase, YjjG family
TIGR02257	822.05	822.05	cobN	1226	equivalog	cobaltochelatase subunit CobN	cobaltochelatase, CobN subunit
TIGR02258	65.7	65.7	thpR	180	equivalog	RNA 2',3'-cyclic phosphodiesterase	2'-5' RNA ligase
TIGR02259	578	578	bcrA	432	equivalog	benzoyl-CoA reductase subunit A	benzoyl-CoA reductase, subunit A
TIGR02260	486.55	486.55	bcrB	413	equivalog	benzoyl-CoA reductase subunit B	benzoyl-CoA reductase, subunit B
TIGR02261	312.85	312.85	bcrD	262	equivalog	benzoyl-CoA reductase subunit D	benzoyl-CoA reductase, subunit D
TIGR02262	375.25	375.25	NULL	508	subfamily	benzoate-CoA ligase family protein	benzoate-CoA ligase family
TIGR02263	421.15	421.15	bcrC	380	equivalog	benzoyl-CoA reductase subunit C	benzoyl-CoA reductase, subunit C
TIGR02265	25	25	NULL	184	subfamily	TIGR02265 family protein	Myxococcales-restricted protein, TIGR02265 family
TIGR02266	68.7	68.7	NULL	96	paralog_domain	TIGR02266 family protein	Myxococcus xanthus paralogous domain TIGR02266
TIGR02267	60	60	NULL	123	domain	DUSAM domain-containing protein	DUSAM domain
TIGR02269	85.75	85.75	NULL	209	paralog	TIGR02269 family lipoprotein	Myxococcus xanthus paralogous lipoprotein family TIGR02269
TIGR02270	206.8	206.8	NULL	410	subfamily	TIGR02270 family protein	conserved hypothetical protein
TIGR02271	49.75	49.75	NULL	115	domain	YsnF/AvaK domain-containing protein	conserved domain
TIGR02272	442.1	442.1	gtdA	336	equivalog	gentisate 1,2-dioxygenase	gentisate 1,2-dioxygenase
TIGR02273	66.2	66.2	rimM	166	equivalog	16S rRNA processing protein RimM	16S rRNA processing protein RimM
TIGR02274	92.8	92.8	dcd	180	equivalog	dCTP deaminase	deoxycytidine triphosphate deaminase
TIGR02275	723.55	723.55	NULL	526	equivalog	(2,3-dihydroxybenzoyl)adenylate synthase	(2,3-dihydroxybenzoyl)adenylate synthase
TIGR02276	27.85	27.85	NULL	42	repeat	YVTN family beta-propeller repeat-containing protein	40-residue YVTN family beta-propeller repeat
TIGR02277	264.55	264.55	paaX	279	equivalog	phenylacetic acid degradation operon negative regulatory protein PaaX	phenylacetic acid degradation operon negative regulatory protein PaaX
TIGR02278	562.8	562.8	paaZ	664	equivalog	phenylacetic acid degradation bifunctional protein PaaZ	phenylacetic acid degradation protein paaN
TIGR02279	669.4	669.4	paaC	503	equivalog	3-hydroxyacyl-CoA dehydrogenase PaaC	3-hydroxyacyl-CoA dehydrogenase PaaC
TIGR02280	345.15	345.15	paaB	256	equivalog	2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA isomerase	phenylacetate degradation probable enoyl-CoA hydratase PaaB
TIGR02281	57.95	57.95	NULL	121	subfamily	TIGR02281 family clan AA aspartic protease	clan AA aspartic protease, TIGR02281 family
TIGR02282	281.4	281.4	mltB	290	equivalog	lytic murein transglycosylase B	lytic murein transglycosylase B
TIGR02283	248.45	248.45	NULL	300	subfamily	lytic murein transglycosylase	lytic murein transglycosylase
TIGR02284	44.8	44.8	NULL	139	subfamily	PA2169 family four-helix-bundle protein	conserved hypothetical protein
TIGR02285	143.3	143.3	NULL	268	subfamily	TIGR02285 family protein	conserved hypothetical protein
TIGR02286	118.9	118.9	paaI	114	equivalog	hydroxyphenylacetyl-CoA thioesterase PaaI	phenylacetic acid degradation protein PaaD
TIGR02287	319.6	319.6	paaY	192	equivalog	phenylacetic acid degradation protein PaaY	phenylacetic acid degradation protein PaaY
TIGR02288	578.75	578.75	paaN	551	equivalog	phenylacetic acid degradation protein PaaN	phenylacetic acid degradation protein paaN
TIGR02289	442.35	442.35	NULL	549	subfamily	M3 family oligoendopeptidase	oligoendopeptidase, M3 family
TIGR02290	561.7	561.7	NULL	587	subfamily	M3 family oligoendopeptidase	oligoendopeptidase, pepF/M3 family
TIGR02291	314.2	314.2	NULL	317	hypoth_equivalog	alpha-L-glutamate ligase-like protein	alpha-L-glutamate ligase homolog
TIGR02292	33.8	33.8	NULL	179	subfamily	YecA family protein	yecA family protein
TIGR02294	393	393	nikA	501	equivalog	nickel ABC transporter, nickel/metallophore periplasmic binding protein	nickel ABC transporter, nickel/metallophore periplasmic binding protein
TIGR02295	321.4	321.4	hpaD	298	equivalog	3,4-dihydroxyphenylacetate 2,3-dioxygenase	3,4-dihydroxyphenylacetate 2,3-dioxygenase
TIGR02296	205.95	205.95	hpaC	154	equivalog	4-hydroxyphenylacetate 3-monooxygenase, reductase component	4-hydroxyphenylacetate 3-monooxygenase, reductase component
TIGR02297	274.65	274.65	hpaA	287	equivalog	4-hydroxyphenylacetate catabolism regulatory protein HpaA	4-hydroxyphenylacetate catabolism regulatory protein HpaA
TIGR02298	315.95	315.95	hpaD	284	equivalog	3,4-dihydroxyphenylacetate 2,3-dioxygenase	3,4-dihydroxyphenylacetate 2,3-dioxygenase
TIGR02299	638.35	638.35	hpaE	488	equivalog	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase
TIGR02300	41.65	41.65	NULL	129	hypoth_equivalog	TIGR02300 family protein	TIGR02300 family protein
TIGR02301	42.55	42.55	NULL	121	hypoth_equivalog	TIGR02301 family protein	TIGR02301 family protein
TIGR02302	394.3	394.3	NULL	851	hypoth_equivalog	TIGR02302 family protein	TIGR02302 family protein
TIGR02306	151.15	151.15	NULL	341	equivalog	RNA ligase (ATP)	RNA ligase
TIGR02307	197.15	197.15	NULL	326	equivalog	RNA ligase, Rnl2 family	RNA ligase, Rnl2 family
TIGR02308	242.25	242.25	NULL	373	equivalog	RNA ligase, T4 RnlA family	RNA ligase, T4 RnlA family
TIGR02309	480.2	480.2	hpaB	477	equivalog	4-hydroxyphenylacetate 3-monooxygenase, oxygenase component	4-hydroxyphenylacetate 3-monooxygenase, oxygenase component
TIGR02310	885.2	885.2	hpaB	519	equivalog	4-hydroxyphenylacetate 3-monooxygenase, oxygenase component	4-hydroxyphenylacetate 3-monooxygenase, oxygenase component
TIGR02311	368.8	368.8	hpaI	249	equivalog	4-hydroxy-2-oxoheptanedioate aldolase	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase
TIGR02312	351.5	351.5	hpaH	267	equivalog	2-oxo-hepta-3-ene-1,7-dioic acid hydratase	2-oxo-hepta-3-ene-1,7-dioic acid hydratase
TIGR02313	396.7	396.7	hpaI	294	exception	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase
TIGR02314	499.7	499.7	metN	343	equivalog	D-methionine ABC transporter, ATP-binding protein	D-methionine ABC transporter, ATP-binding protein
TIGR02315	266.1	266.1	phnC	243	equivalog	phosphonate ABC transporter ATP-binding protein	phosphonate ABC transporter, ATP-binding protein
TIGR02316	827.4	827.4	prpE	628	equivalog	propionate--CoA ligase	propionate--CoA ligase
TIGR02317	354.4	354.4	prpB	285	equivalog	methylisocitrate lyase	methylisocitrate lyase
TIGR02318	390.55	390.55	phnM	376	equivalog	phosphonate metabolism protein PhnM	phosphonate metabolism protein PhnM
TIGR02319	420.05	420.05	bcpA	294	equivalog	carboxyvinyl-carboxyphosphonate phosphorylmutase	carboxyvinyl-carboxyphosphonate phosphorylmutase
TIGR02320	319.55	319.55	aepX	284	equivalog	phosphoenolpyruvate mutase	phosphoenolpyruvate mutase
TIGR02321	374.4	374.4	NULL	290	equivalog	phosphonopyruvate hydrolase	phosphonopyruvate hydrolase
TIGR02322	156	156	phnN	179	equivalog	phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN	phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN
TIGR02323	302.85	302.85	phnK	239	equivalog	phosphonate C-P lyase system protein PhnK	phosphonate C-P lyase system protein PhnK
TIGR02324	256.3	256.3	phnL	224	equivalog	phosphonate C-P lyase system protein PhnL	phosphonate C-P lyase system protein PhnL
TIGR02325	156.8	156.8	phnF	238	equivalog	phosphonate metabolism transcriptional regulator PhnF	phosphonate metabolism transcriptional regulator PhnF
TIGR02326	400.8	400.8	phnW	363	equivalog	2-aminoethylphosphonate--pyruvate transaminase	2-aminoethylphosphonate--pyruvate transaminase
TIGR02329	499.2	499.2	prpR	526	equivalog	propionate catabolism operon regulatory protein PrpR	propionate catabolism operon regulatory protein PrpR
TIGR02330	458	458	prpD	468	equivalog	2-methylcitrate dehydratase	2-methylcitrate dehydratase
TIGR02332	615.4	615.4	hpaX	412	equivalog	4-hydroxyphenylacetate permease	4-hydroxyphenylacetate permease
TIGR02333	1419.85	1419.85	acnD	858	equivalog	Fe/S-dependent 2-methylisocitrate dehydratase AcnD	2-methylisocitrate dehydratase, Fe/S-dependent
TIGR02334	440.55	440.55	prpF	390	equivalog	2-methylaconitate cis-trans isomerase PrpF	probable AcnD-accessory protein PrpF
TIGR02335	407.55	407.55	phnA	408	equivalog	phosphonoacetate hydrolase	phosphonoacetate hydrolase
TIGR02336	560.3	560.3	gnpA	719	equivalog	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase
TIGR02337	121.2	121.2	hpaR	130	equivalog	homoprotocatechuate degradation operon regulator HpaR	homoprotocatechuate degradation operon regulator, HpaR
TIGR02338	73	73	NULL	110	equivalog	prefoldin subunit beta	prefoldin, beta subunit
TIGR02339	671.1	671.1	NULL	521	subfamily	thermosome subunit	thermosome, various subunits, archaeal
TIGR02340	800.2	800.2	NULL	536	equivalog	T-complex protein 1 subunit alpha	T-complex protein 1, alpha subunit
TIGR02341	522.15	522.15	NULL	519	equivalog	T-complex protein 1 subunit beta	T-complex protein 1, beta subunit
TIGR02342	695.35	695.35	NULL	517	equivalog	T-complex protein 1 subunit delta	T-complex protein 1, delta subunit
TIGR02343	710.5	710.5	NULL	532	equivalog	T-complex protein 1 subunit epsilon	T-complex protein 1, epsilon subunit
TIGR02344	553.45	553.45	NULL	526	equivalog	T-complex protein 1 subunit gamma	T-complex protein 1, gamma subunit
TIGR02345	669.2	669.2	NULL	523	equivalog	T-complex protein 1 subunit eta	T-complex protein 1, eta subunit
TIGR02346	455.9	455.9	NULL	531	equivalog	T-complex protein 1 subunit theta	T-complex protein 1, theta subunit
TIGR02347	587.15	587.15	NULL	531	equivalog	T-complex protein 1 subunit zeta	T-complex protein 1, zeta subunit
TIGR02348	582.1	582.1	groL	526	equivalog	chaperonin GroEL	chaperonin GroL
TIGR02349	377.2	377.2	dnaJ	354	equivalog	molecular chaperone DnaJ	chaperone protein DnaJ
TIGR02350	822.55	822.55	dnaK	596	equivalog	molecular chaperone DnaK	chaperone protein DnaK
TIGR02351	377.8	377.8	thiH	366	equivalog	2-iminoacetate synthase ThiH	thiazole biosynthesis protein ThiH
TIGR02352	250.8	250.8	thiO	351	equivalog	glycine oxidase ThiO	glycine oxidase ThiO
TIGR02354	152.2	152.2	thiF	200	equivalog	thiamine biosynthesis protein ThiF	thiamine biosynthesis protein ThiF
TIGR02355	376.55	376.55	moeB	240	equivalog	molybdopterin-synthase adenylyltransferase MoeB	molybdopterin synthase sulfurylase MoeB
TIGR02356	275.25	275.25	thiF	203	equivalog	thiazole biosynthesis adenylyltransferase ThiF	thiazole biosynthesis adenylyltransferase ThiF
TIGR02357	108.45	108.45	thiT	183	equivalog	energy-coupled thiamine transporter ThiT	energy-coupled thiamine transporter ThiT
TIGR02358	309.85	309.85	cytX	386	hypoth_equivalog	putative hydroxymethylpyrimidine transporter CytX	putative hydroxymethylpyrimidine transporter CytX
TIGR02359	84.35	84.35	thiW	160	equivalog	energy coupling factor transporter S component ThiW	energy coupling factor transporter S component ThiW
TIGR02360	538.7	538.7	pobA	390	equivalog	4-hydroxybenzoate 3-monooxygenase	4-hydroxybenzoate 3-monooxygenase
TIGR02361	574.95	574.95	dhaK	583	equivalog	glycerone kinase	dihydroxyacetone kinase
TIGR02362	413.25	413.25	dhaQ	326	equivalog	DhaKLM operon coactivator DhaQ	probable dihydroxyacetone kinase DhaK1b subunit
TIGR02363	406.25	406.25	dhaK	329	equivalog	dihydroxyacetone kinase subunit DhaK	dihydroxyacetone kinase, DhaK subunit
TIGR02365	138.3	138.3	dhaL	196	equivalog	dihydroxyacetone kinase subunit L	dihydroxyacetone kinase, L subunit
TIGR02366	129	129	dhaS	176	equivalog	dihydroxyacetone kinase transcriptional activator DhaS	probable dihydroxyacetone kinase regulator
TIGR02368	369.1	369.1	mtbB	466	equivalog	[dimethylamine--corrinoid protein] Co-methyltransferase	dimethylamine:corrinoid methyltransferase
TIGR02369	575.35	575.35	mttB	489	equivalog	[trimethylamine--corrinoid protein] Co-methyltransferase	trimethylamine:corrinoid methyltransferase
TIGR02371	409.15	409.15	ala	325	equivalog	alanine dehydrogenase	alanine dehydrogenase
TIGR02372	334.7	334.7	pcl	386	equivalog	4-coumarate--CoA ligase	4-coumarate--CoA ligase
TIGR02373	143.05	143.05	pyp	124	equivalog	photoactive yellow protein	photoactive yellow protein
TIGR02375	109.85	109.85	NULL	116	equivalog	pseudoazurin	pseudoazurin
TIGR02376	296.3	296.3	nirK	326	equivalog	nitrite reductase, copper-containing	nitrite reductase, copper-containing
TIGR02378	74.65	74.65	nirD	105	equivalog_domain	nitrite reductase small subunit NirD	nitrite reductase [NAD(P)H], small subunit
TIGR02379	434.85	434.85	wecE	376	subfamily	dTDP-4-amino-4,6-dideoxy-D-glucose transaminase	TDP-4-keto-6-deoxy-D-glucose transaminase
TIGR02380	326.05	326.05	wecA	346	equivalog	undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase	undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphatetransferase
TIGR02381	115.4	115.4	cspD	68	equivalog	cold shock domain-containing protein CspD	cold shock domain protein CspD
TIGR02382	195.1	195.1	wecD	191	equivalog	dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase	TDP-D-fucosamine acetyltransferase
TIGR02383	61.7	61.7	hfq	61	equivalog	RNA chaperone Hfq	RNA chaperone Hfq
TIGR02384	45.65	45.65	NULL	85	subfamily	type II toxin-antitoxin system RelB/DinJ family antitoxin	addiction module antitoxin, RelB/DinJ family
TIGR02385	27.9	27.9	NULL	88	subfamily	type II toxin-antitoxin system mRNA interferase toxin, RelE/StbE family	addiction module toxin, RelE/StbE family
TIGR02386	963.5	963.5	rpoC	1147	equivalog	DNA-directed RNA polymerase subunit beta'	DNA-directed RNA polymerase, beta' subunit
TIGR02387	975.9	975.9	rpoC1	619	equivalog	DNA-directed RNA polymerase subunit gamma	DNA-directed RNA polymerase, gamma subunit
TIGR02388	467.4	467.4	NULL	1230	equivalog	DNA-directed RNA polymerase subunit beta''	DNA-directed RNA polymerase, beta'' subunit
TIGR02389	420.65	420.65	rpoA2	367	equivalog	DNA-directed RNA polymerase subunit A''	DNA-directed RNA polymerase, subunit A''
TIGR02390	1042.55	1042.55	rpoA1	867	equivalog	DNA-directed RNA polymerase subunit A'	DNA-directed RNA polymerase subunit A'
TIGR02391	39.45	39.45	NULL	125	hypoth_equivalog_domain	TIGR02391 family protein	TIGR02391 family protein
TIGR02392	323.1	323.1	rpoH	270	equivalog	RNA polymerase sigma factor RpoH	alternative sigma factor RpoH
TIGR02393	354	354	rpoD	238	equivalog_domain	RNA polymerase sigma factor RpoD	RNA polymerase sigma factor RpoD
TIGR02394	378.7	378.7	rpoS	285	equivalog	RNA polymerase sigma factor RpoS	RNA polymerase sigma factor RpoS
TIGR02395	277.35	277.35	rpoN	434	equivalog	RNA polymerase sigma-54 factor	RNA polymerase sigma-54 factor
TIGR02396	74.55	74.55	NULL	186	hypoth_equivalog	COQ9 family protein	rpsU-divergently transcribed protein
TIGR02397	250	200	dnaX	355	equivalog	DNA polymerase III subunit gamma/tau	DNA polymerase III, subunit gamma and tau
TIGR02398	569	569	ggpS	487	equivalog	glucosylglycerol-phosphate synthase	glucosylglycerol-phosphate synthase
TIGR02399	365.5	365.5	stpA	389	equivalog	glucosylglycerol 3-phosphatase	glucosylglycerol 3-phosphatase
TIGR02400	564.85	564.85	otsA	456	equivalog	alpha,alpha-trehalose-phosphate synthase (UDP-forming)	alpha,alpha-trehalose-phosphate synthase (UDP-forming)
TIGR02401	498.65	498.65	treY	838	equivalog	malto-oligosyltrehalose synthase	malto-oligosyltrehalose synthase
TIGR02402	538.8	538.8	treZ	545	equivalog	malto-oligosyltrehalose trehalohydrolase	malto-oligosyltrehalose trehalohydrolase
TIGR02403	799.05	799.05	treC	544	equivalog	alpha,alpha-phosphotrehalase	alpha,alpha-phosphotrehalase
TIGR02404	211.95	211.95	treR	233	equivalog	trehalose operon repressor	trehalose operon repressor
TIGR02405	357.35	357.35	treR	311	equivalog	trehalose operon repressor	trehalose operon repressor
TIGR02406	120.6	120.6	ectA	157	equivalog	diaminobutyrate acetyltransferase	diaminobutyrate acetyltransferase
TIGR02407	552.2	552.2	ectB	412	equivalog	diaminobutyrate--2-oxoglutarate transaminase	diaminobutyrate--2-oxoglutarate aminotransferase
TIGR02408	336.5	336.5	thpD	277	equivalog	ectoine hydroxylase	ectoine hydroxylase
TIGR02409	414.75	414.75	NULL	366	equivalog	gamma-butyrobetaine dioxygenase	gamma-butyrobetaine hydroxylase
TIGR02410	268.3	268.3	NULL	362	equivalog	trimethyllysine dioxygenase	trimethyllysine dioxygenase
TIGR02411	761.7	761.7	NULL	600	equivalog	leukotriene-A(4) hydrolase/aminopeptidase	leukotriene A-4 hydrolase/aminopeptidase
TIGR02412	591.2	591.2	pepN	832	equivalog	aminopeptidase N	aminopeptidase N
TIGR02413	47.05	47.05	NULL	46	paralog	YrzI family small protein	Bacillus tandem small hypothetical protein
TIGR02414	718.2	718.2	pepN	868	equivalog	aminopeptidase N	aminopeptidase N
TIGR02415	304.35	304.35	NULL	254	subfamily	acetoin reductase	acetoin reductases
TIGR02416	991.15	991.15	NULL	770	equivalog	carbon-monoxide dehydrogenase large subunit	carbon-monoxide dehydrogenase, large subunit
TIGR02418	551.1	551.1	alsS	539	equivalog	acetolactate synthase AlsS	acetolactate synthase, catabolic
TIGR02420	115.5	115.5	dksA	110	equivalog	RNA polymerase-binding protein DksA	RNA polymerase-binding protein DksA
TIGR02421	338.65	338.65	NULL	368	hypoth_equivalog	flavohemoglobin expression-modulating QEGLA motif protein	conserved hypothetical protein
TIGR02422	296.4	296.4	pcaH	220	equivalog	protocatechuate 3,4-dioxygenase subunit beta	protocatechuate 3,4-dioxygenase, beta subunit
TIGR02423	126.25	126.25	pcaG	193	equivalog	protocatechuate 3,4-dioxygenase subunit alpha	protocatechuate 3,4-dioxygenase, alpha subunit
TIGR02424	303.8	303.8	pcaQ	300	equivalog	pca operon transcription factor PcaQ	pca operon transcription factor PcaQ
TIGR02425	155.7	155.7	pcaC	123	equivalog	4-carboxymuconolactone decarboxylase	4-carboxymuconolactone decarboxylase
TIGR02426	355.75	355.75	pcaB	338	equivalog	3-carboxy-cis,cis-muconate cycloisomerase	3-carboxy-cis,cis-muconate cycloisomerase
TIGR02427	255.85	255.85	pcaD	251	equivalog	3-oxoadipate enol-lactonase	3-oxoadipate enol-lactonase
TIGR02428	243.55	243.55	NULL	207	subfamily	3-oxoacid CoA-transferase subunit B	3-oxoacid CoA-transferase, B subunit
TIGR02429	128.5	128.5	NULL	222	subfamily	3-oxoacid CoA-transferase subunit A	3-oxoacid CoA-transferase, A subunit
